  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
    30,    0.0000,   11.9691,   13.0827,    2.8265,   51.9022,   51.0203,    7.4810,    7.8798,   11.8244,    9.5757,    0.0000,    0.0000,    0.0000,   24.7776,    0.0000,    0.0000,  224.3798,  224.4675,    0.0089,    0.0189,    4.6068,   25.1079,  167.8151,   19.6276,    5.7115,      3060
    31,    0.0000,   11.2900,   12.2919,    2.9534,   51.9466,   51.0146,    7.4720,    7.9007,   11.9260,    9.2454,    0.0000,    0.0000,    0.0000,   25.3464,    0.0000,    0.0000,  224.1601,  224.2639,    0.0105,    0.0217,    4.7027,   25.6373,  166.3075,   20.2399,    5.7690,      3060
    32,    0.0000,    9.9811,   12.0324,    2.6641,   52.5865,   51.0963,    9.5157,    7.9123,   10.2364,    9.3618,    0.0000,    0.0000,    0.0000,   25.5160,    0.0000,    0.0000,  225.3743,  225.4871,    0.0100,    0.0228,    4.4281,   26.3909,  165.7196,   20.1573,    7.5124,      3060
    33,    0.0000,   11.7575,   11.7874,    2.4388,   52.7203,   51.1647,    8.9403,    7.8981,    8.9797,    9.5346,    0.0000,    0.0000,    0.0000,   25.3507,    0.0000,    0.0000,  223.9443,  224.0498,    0.0099,    0.0214,    4.2413,   26.4055,  165.5561,   19.0508,    7.6989,      3060
    34,    0.0000,   10.6855,   12.1702,    2.2306,   52.7225,   51.2216,    9.5106,    7.9188,    8.5182,    9.7067,    0.0000,    0.0000,    0.0000,   25.9685,    0.0000,    0.0000,  224.6299,  224.7293,    0.0099,    0.0201,    4.3772,   26.6348,  165.0081,   19.9345,    7.5498,      3060
    35,    0.0000,    9.6709,   11.5969,    2.5890,   52.5681,   51.1292,    9.6163,    8.2259,    9.2312,    9.1555,    0.0000,    0.0000,    0.0000,   25.3819,    0.0000,    0.0000,  227.2795,  227.4333,    0.0153,    0.0377,    5.5490,   25.7049,  164.1392,   24.5575,    5.7130,      3060
    36,    0.0000,    9.7998,   11.2786,    2.6053,   52.5123,   51.2286,    8.5848,    7.9177,   10.9389,    9.2826,    0.0000,    0.0000,    0.0000,   26.6803,    0.0000,    0.0000,  225.4707,  225.5608,    0.0096,    0.0196,    4.2678,   27.0414,  164.4805,   21.3816,    7.0079,      3060
    37,    0.0000,   12.1153,   10.8942,    2.4496,   52.4109,   51.2397,    8.3276,    7.9548,    9.6612,    9.5649,    0.0000,    0.0000,    0.0000,   25.6121,    0.0000,    0.0000,  225.0867,  225.1763,    0.0089,    0.0186,    4.1619,   26.6605,  164.9641,   20.8587,    7.3076,      3060
    38,    0.0000,   11.0778,   10.8665,    2.5699,   52.3201,   51.2060,    8.5627,    8.0582,   10.1437,    9.4457,    0.0000,    0.0000,    0.0000,   25.9308,    0.0000,    0.0000,  226.5114,  226.6052,    0.0089,    0.0191,    4.4969,   26.5187,  164.5733,   22.7780,    6.7242,      3060
    39,    0.0000,   11.5565,    9.8024,    2.6354,   52.3809,   51.2308,    8.3719,    7.9528,   10.2152,    9.2811,    0.0000,    0.0000,    0.0000,   25.8811,    0.0000,    0.0000,  225.2905,  225.3928,    0.0093,    0.0197,    4.1630,   26.7961,  163.7607,   22.0779,    7.3846,      3060
    40,    0.0000,    9.6284,   11.8517,    2.3556,   52.3728,   50.9211,    7.8576,    7.9210,   13.4052,    8.8247,    0.0000,    0.0000,    0.0000,   25.0154,    0.0000,    0.0000,  223.6691,  223.7547,    0.0089,    0.0175,    3.7862,   26.0133,  165.3928,   19.9801,    7.2436,      3060
    41,    0.0000,   13.1704,   12.3115,    1.4879,   52.2216,   51.1062,    7.6258,    7.9287,    9.5142,   10.1970,    0.0000,    0.0000,    0.0000,   25.2990,    0.0000,    0.0000,  221.2152,  221.3044,    0.0084,    0.0167,    3.4817,   26.6305,  165.8350,   16.3798,    8.0622,      3060
